Date,AAPL,MSFT,AMZN,GOOGL,FB,WFC,BAC,GD,LMT,BA
2000-01-03,,,,,,,,,,
2000-01-04,-0.08807795867310422,-0.034364113911753424,-0.08688423949025381,,,-0.05078896835450175,-0.06118914908177553,0.04117814066810421,0.03338705825854271,-0.0015562721239805732
2000-01-05,0.01452827811398874,0.010488322757093993,-0.16103934082244376,,,-0.01013553812544421,0.010914213417348329,0.06621806996251056,0.005952155858059971,0.06044176460361461
2000-01-06,-0.09051409980636171,-0.03407153854048195,-0.06191353454495907,,,0.04319651739104646,0.08202436484471987,0.003426980515572886,0.01472804061469013,0.010211261744877298
2000-01-07,0.04628076196265868,0.012983292025420479,0.05922174287924786,,,0.0177279890888995,-0.026601319470934914,0.02588784379279563,0.0029194407811381495,0.028614384064326703
2000-01-10,-0.01774461130397248,0.007264388165568292,-0.005405418566907905,,,-0.03247050368079529,-0.035274429770121074,-0.008928915807749238,-0.038637519276638166,-0.014205052132414853
2000-01-11,-0.05250522087581261,-0.02594592856879041,-0.035865913188496634,,,-0.0166400260079973,-0.021506235508747196,-0.013544183595202153,-0.03390199830167795,-0.018772904860592465
2000-01-12,-0.061846785536864624,-0.033113336983098485,-0.0489306234715805,,,0.02812510782788724,0.01081096661642178,-0.03266789991526142,0.06080942912602527,0.004363572928680615
2000-01-13,0.10406938410614652,0.018724906796111274,0.036683649861607215,,,0.053980952914195246,0.02259220311716259,0.0,-0.020865440219215436,-0.01609397970758053
2000-01-14,0.037405173903640454,0.04033435875577762,-0.025925599895056273,,,0.03044436475006762,0.05992841065353094,0.007050880605075083,-0.012121415388322454,0.0376310604318979
2000-01-18,0.03425420470972415,0.026917754680427564,-0.0019474202843960953,,,-0.06985055028048759,-0.05077204307597194,-0.029711082899391172,-0.024692726416535304,0.022472785168099918
2000-01-19,0.02494195690774853,-0.07481741101382067,0.04105588529433035,,,-0.05621262765250812,0.0,-0.020719718026310563,0.0337972818604535,0.056695836581299286
2000-01-20,0.0630709413787334,-0.009389330392458373,-0.031356488205616095,,,-0.010256724404415163,-0.019392409569971125,-0.028417053868817987,-0.006060379658095805,-0.023906146102755432
2000-01-21,-0.019461061971974225,-0.021454761370957254,-0.04239175877425616,,,0.006849460623746584,-0.029984445904478463,0.000949256304227486,0.02105379072594138,-0.017627379553904365
2000-01-24,-0.04654684142641474,-0.024391487260480016,0.12213742203746936,,,-0.020691137073970634,-0.02493147658367434,-0.061336712053294384,-0.0709080884102975,-0.030557792752730073
2000-01-25,0.054933891277977515,0.01531425650278928,-0.012556218775412908,,,0.04762879622895655,0.012543614986367135,0.013368944711658948,-0.016103664771382586,0.030557792752730073
2000-01-26,-0.018545309859591463,-0.034006295962102584,-0.06622465907770181,,,0.009917471750032991,0.043367020106324095,-0.0026595536973199607,0.04134130239399125,0.010884394610830128
2000-01-27,-0.0017030977915195034,-0.006309298610847058,0.03226086221822122,,,0.02597531278558174,0.020997980816436,0.001331001930061415,-0.03164790196446665,-0.0246585822028762
2000-01-28,-0.07919068510748029,-0.0050758076113153194,-0.08167803101426685,,,-0.006430914166319912,-0.05060959473033089,0.005305067644443717,-0.02936595730944358,-0.009756104977855617
2000-01-31,0.020694381965580044,-0.003824918921994769,0.04555242968615669,,,0.031748557213786555,0.05708232913769473,-0.0026494795277725025,-0.020067432857831413,-0.0028053174658468905
2000-02-01,-0.03431680696583425,0.050431320106898436,0.043567496138496864,,,0.010877990225529377,0.011546232750978547,0.02488717044133848,0.010083450514888792,-0.01699716569727938
2000-02-02,-0.014443003808977117,-0.020859777746534913,0.029225824381494903,,,-0.030740268641788138,-0.02584087715049277,-0.01696123190522103,0.0,0.019802483163126272
2000-02-03,0.044534342340027344,0.02751630069184996,0.1926193867707342,,,-0.0032105231839469894,-0.027872416837158465,-0.0266681525938548,-0.0033499519338677786,-0.02697144859197209
2000-02-04,0.04437300096489863,0.02795269282072299,-0.06915196782011712,,,-0.008071163857661379,-0.012186418821725553,-0.014976169817396467,0.02649199099186239,0.012866645069134375
2000-02-07,0.05461524606287729,0.0005864739761323179,-0.046406372814155716,,,-0.009771662590120744,-0.012337628723836147,-0.023595714983492666,-0.01980267105138722,-0.05099407175782655
2000-02-08,0.0070978921192265815,0.030594026564310095,0.1028573854397079,,,0.019449376471591506,0.03922039355843454,-0.03428924628740493,-0.020202752858655693,-0.019623480600391652
2000-02-09,-0.019780970510399412,-0.05552087911526504,-0.03519873696589304,,,-0.02766626361586333,-0.022804220440627354,-0.029500410829270685,0.0,-0.04659017332313642
2000-02-10,0.007739022711603594,0.019048155936793876,-0.05194935476863449,,,-0.030153162269237033,-0.026118542716116355,0.010424323290918025,-0.0034068438738006357,0.019048420374844
2000-02-11,-0.042750949303770824,-0.05889424576068425,0.0,,,0.030153162269237033,0.0069400323445596435,-0.017937686937543607,-0.04538312762160768,0.0031398063623973016
2000-02-14,0.06292096894373156,-0.00313179882104464,-0.023237560125971335,,,-0.0016512941118000946,-0.02096509837734839,0.003011674295596567,0.031636615288820114,-0.041606624421798966
2000-02-15,0.027150645415614114,-0.010721853520890612,-0.00843175315793765,,,-0.0033120586063097868,0.030599755675397855,-0.006032869303552069,0.0034544508450440325,0.006515017553797353
2000-02-16,-0.04182883586184376,-0.0095579417370395,-0.043259340081242215,,,-0.04580899423850138,-0.009634657298049465,0.006032869303552069,-0.020906915540756632,-0.03300603263712931
2000-02-17,0.006550118605064728,0.02027979525793011,-0.024162249279079617,,,-0.029958083606759445,-0.012526740830292038,0.03690463261944865,0.013986843875532173,0.0066889339774953704
